index,true,top1,top1_correct,top3_correct,questions_asked
2521,Hepatitis B,Hepatitis B,True,True,5
1671,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1145,Hyperthyroidism,Hyperthyroidism,True,True,6
134,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
3886,Hyperthyroidism,Hyperthyroidism,True,True,6
1517,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
889,AIDS,AIDS,True,True,7
1816,Dengue,Dengue,True,True,5
1821,Typhoid,Typhoid,True,True,5
967,Jaundice,Jaundice,True,True,6
4606,Jaundice,Jaundice,True,True,6
1485,Tuberculosis,Tuberculosis,True,True,5
406,Impetigo,Impetigo,True,True,6
4624,Hyperthyroidism,Hyperthyroidism,True,True,6
1504,Pneumonia,Pneumonia,True,True,9
4168,Pneumonia,Pneumonia,True,True,5
2641,Dengue,Dengue,True,True,5
4250,Pneumonia,Pneumonia,True,True,5
248,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1630,Impetigo,Impetigo,True,True,6
1130,Hypothyroidism,Hypothyroidism,True,True,6
777,Vertigo,Vertigo,True,True,9
500,Bronchial Asthma,Bronchial Asthma,True,True,7
3473,Heart Attack,Heart Attack,True,True,6
3375,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
3764,Hypoglycemia,Hypoglycemia,True,True,5
4906,Pneumonia,Pneumonia,True,True,5
2714,Gastroenteritis,Gastroenteritis,True,True,6
868,Drug Reaction,Drug Reaction,True,True,6
2628,Drug Reaction,Drug Reaction,True,True,6
4434,AIDS,AIDS,True,True,7
2445,Psoriasis,Psoriasis,True,True,5
87,Gastroenteritis,Gastroenteritis,True,True,17
207,Hepatitis B,Hepatitis B,True,True,9
3222,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1366,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
997,Dengue,Dengue,True,True,5
515,Hypertension ,Hypertension ,True,True,5
3223,Tuberculosis,Tuberculosis,True,True,5
2312,Common Cold,Common Cold,True,True,5
4240,Dengue,Dengue,True,True,5
281,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
4433,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3134,Typhoid,Typhoid,True,True,5
2270,Hepatitis D,Hepatitis D,True,True,5
4634,Allergy,Allergy,True,True,10
4911,Hyperthyroidism,Hyperthyroidism,True,True,6
884,AIDS,AIDS,True,True,7
3330,Bronchial Asthma,Bronchial Asthma,True,True,7
4007,Varicose Veins,Varicose Veins,True,True,6
954,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
4402,Malaria,Malaria,True,True,5
3171,Jaundice,Jaundice,True,True,6
604,Hepatitis A,Hepatitis A,True,True,5
3822,Bronchial Asthma,Bronchial Asthma,True,True,7
2441,Psoriasis,Psoriasis,True,True,5
11,Allergy,Allergy,True,True,10
1135,Hypothyroidism,Hypothyroidism,True,True,6
3516,Hypothyroidism,Hypothyroidism,True,True,6
4086,Pneumonia,Pneumonia,True,True,5
532,Cervical Spondylosis,Cervical Spondylosis,True,True,6
4898,Hepatitis A,Hepatitis A,True,True,5
3838,Tuberculosis,Tuberculosis,True,True,5
3270,Hypothyroidism,Hypothyroidism,True,True,6
714,Varicose Veins,Varicose Veins,True,True,6
450,Drug Reaction,Drug Reaction,True,True,6
2707,Allergy,Allergy,True,True,10
3548,Hepatitis D,Hepatitis D,True,True,5
105,Hypertension ,Hypertension ,True,True,5
539,Cervical Spondylosis,Cervical Spondylosis,True,True,6
60,AIDS,AIDS,True,True,7
1467,Hepatitis E,Hepatitis E,True,True,4
4073,Jaundice,Jaundice,True,True,6
3229,Hypothyroidism,Hypothyroidism,True,True,6
974,Malaria,Malaria,True,True,8
2411,Vertigo,Vertigo,True,True,6
1326,Bronchial Asthma,Bronchial Asthma,True,True,9
4637,Drug Reaction,Drug Reaction,True,True,6
713,Varicose Veins,Varicose Veins,True,True,9
1086,Common Cold,Common Cold,True,True,10
214,Hepatitis C,Hepatitis C,True,True,6
519,Hypertension ,Hypertension ,True,True,5
3038,Drug Reaction,Drug Reaction,True,True,6
1724,Gastroenteritis,Gastroenteritis,True,True,6
4001,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4685,Migraine,Migraine,True,True,6
3054,Hepatitis B,Hepatitis B,True,True,5
4949,Heart Attack,Heart Attack,True,True,6
1950,Hypothyroidism,Hypothyroidism,True,True,6
4368,Hepatitis D,Hepatitis D,True,True,5
3186,Heart Attack,Heart Attack,True,True,6
1482,Tuberculosis,Tuberculosis,True,True,5
2102,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,17
2431,Urinary Tract Infection,Urinary Tract Infection,True,True,9
4244,Hepatitis C,Hepatitis C,True,True,6
1851,Hepatitis C,Hepatitis C,True,True,6
2063,Allergy,Allergy,True,True,18
907,Gastroenteritis,Gastroenteritis,True,True,17
4175,Osteoarthritis,Osteoarthritis,True,True,6
177,Dengue,Dengue,True,True,5
2978,Common Cold,Common Cold,True,True,5
3208,Hypertension ,Hypertension ,True,True,5
4326,Hepatitis C,Hepatitis C,True,True,6
2698,Hypoglycemia,Hypoglycemia,True,True,5
2135,Gastroenteritis,Gastroenteritis,True,True,13
4430,GERD,GERD,True,True,6
4879,Fungal Infection,Fungal Infection,True,True,5
2635,Migraine,Migraine,True,True,6
127,Cervical Spondylosis,Cervical Spondylosis,True,True,6
249,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4806,Bronchial Asthma,Bronchial Asthma,True,True,7
3470,Common Cold,Common Cold,True,True,5
1645,Fungal Infection,Fungal Infection,True,True,9
4651,Typhoid,Typhoid,True,True,5
2810,Hepatitis D,Hepatitis D,True,True,5
442,Chronic Cholestasis,Chronic Cholestasis,True,True,13
2008,Vertigo,Vertigo,True,True,6
2917,AIDS,AIDS,True,True,7
3695,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
301,Varicose Veins,Varicose Veins,True,True,6
330,Hypoglycemia,Hypoglycemia,True,True,5
1319,Gastroenteritis,Gastroenteritis,True,True,6
4170,Heart Attack,Heart Attack,True,True,6
607,Hepatitis A,Hepatitis A,True,True,5
269,Common Cold,Common Cold,True,True,5
516,Hypertension ,Hypertension ,True,True,5
1126,Varicose Veins,Varicose Veins,True,True,6
2557,Malaria,Malaria,True,True,5
2593,Hypertension ,Hypertension ,True,True,5
2397,Osteoarthritis,Osteoarthritis,True,True,6
2246,Hepatitis A,Hepatitis A,True,True,8
2916,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
4581,Varicose Veins,Varicose Veins,True,True,6
3757,Common Cold,Common Cold,True,True,5
4528,Typhoid,Typhoid,True,True,5
2173,Cervical Spondylosis,Cervical Spondylosis,True,True,6
4483,Jaundice,Jaundice,True,True,6
4774,Typhoid,Typhoid,True,True,5
2070,GERD,GERD,True,True,6
2479,Hepatitis A,Hepatitis A,True,True,5
1762,Cervical Spondylosis,Cervical Spondylosis,True,True,6
4196,Jaundice,Jaundice,True,True,6
3248,Bronchial Asthma,Bronchial Asthma,True,True,7
2874,Drug Reaction,Drug Reaction,True,True,6
4691,Dengue,Dengue,True,True,5
3493,Gastroenteritis,Gastroenteritis,True,True,6
3993,Chickenpox,Chickenpox,True,True,5
2666,Allergy,Allergy,True,True,10
3149,Hypoglycemia,Hypoglycemia,True,True,5
2258,Hepatitis B,Hepatitis B,True,True,5
3835,Hepatitis D,Hepatitis D,True,True,5
3545,Hepatitis A,Hepatitis A,True,True,5
880,AIDS,AIDS,True,True,7
1761,Cervical Spondylosis,Cervical Spondylosis,True,True,6
1849,Hepatitis B,Hepatitis B,True,True,5
935,Migraine,Migraine,True,True,6
4815,Typhoid,Typhoid,True,True,5
1388,Malaria,Gastroenteritis,False,True,6
3389,Pneumonia,Pneumonia,True,True,5
1857,Hepatitis C,Hepatitis C,True,True,9
4798,Allergy,Allergy,True,True,10
1703,AIDS,AIDS,True,True,20
4897,Typhoid,Typhoid,True,True,5
389,Urinary Tract Infection,Urinary Tract Infection,True,True,9
1280,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1748,Hypertension ,Hypertension ,True,True,5
3538,Cervical Spondylosis,Cervical Spondylosis,True,True,6
2724,Typhoid,Typhoid,True,True,5
4605,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
1533,Varicose Veins,Varicose Veins,True,True,9
625,Hepatitis C,Hepatitis C,True,True,9
2813,Tuberculosis,Tuberculosis,True,True,5
1942,Varicose Veins,Varicose Veins,True,True,17
274,Pneumonia,Pneumonia,True,True,9
373,Acne,Acne,True,True,8
4420,Hypoglycemia,Hypoglycemia,True,True,5
349,Osteoarthritis,Osteoarthritis,True,True,6
381,Urinary Tract Infection,Urinary Tract Infection,True,True,9
1768,Cervical Spondylosis,Cervical Spondylosis,True,True,6
395,Psoriasis,Psoriasis,True,True,5
3049,Malaria,Malaria,True,True,5
3026,Hypoglycemia,Hypoglycemia,True,True,5
1526,Heart Attack,Heart Attack,True,True,6
3325,Drug Reaction,Drug Reaction,True,True,6
3642,Osteoarthritis,Osteoarthritis,True,True,6
4150,Bronchial Asthma,Bronchial Asthma,True,True,7
245,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,9
2402,Arthritis,AIDS,False,False,20
2300,Tuberculosis,Tuberculosis,True,True,5
3514,Heart Attack,Heart Attack,True,True,6
1350,Cervical Spondylosis,Cervical Spondylosis,True,True,6
2744,Urinary Tract Infection,Urinary Tract Infection,True,True,9
3680,Hypothyroidism,Hypothyroidism,True,True,6
4031,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
1448,Hepatitis C,Hepatitis C,True,True,6
2725,Hepatitis A,Hepatitis A,True,True,5
3073,Psoriasis,Psoriasis,True,True,5
1732,Bronchial Asthma,Bronchial Asthma,True,True,7
2953,Allergy,Allergy,True,True,10
4347,Allergy,Allergy,True,True,10
3898,Chronic Cholestasis,Chronic Cholestasis,True,True,5
2459,Impetigo,Impetigo,True,True,6
1279,Drug Reaction,Drug Reaction,True,True,7
4465,Acne,Acne,True,True,7
424,Allergy,Allergy,True,True,10
2367,Hypothyroidism,Hypothyroidism,True,True,6
2078,GERD,GERD,True,True,6
4822,Tuberculosis,Tuberculosis,True,True,5
633,Hepatitis D,Chronic Cholestasis,False,True,5
4557,AIDS,AIDS,True,True,7
1975,Hypoglycemia,Hypoglycemia,True,True,5
918,Bronchial Asthma,Bronchial Asthma,True,True,9
3591,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
3753,Hepatitis D,Hepatitis D,True,True,5
1434,Hepatitis B,Hepatitis B,True,True,5
3883,Heart Attack,Heart Attack,True,True,6
3517,Hyperthyroidism,Hyperthyroidism,True,True,6
1505,Pneumonia,Pneumonia,True,True,5
470,AIDS,AIDS,True,True,7
3123,Diabetes ,Diabetes ,True,True,5
1141,Hyperthyroidism,Hyperthyroidism,True,True,6
2351,Varicose Veins,Varicose Veins,True,True,6
926,Hypertension ,Hypertension ,True,True,5
3306,Common Cold,Common Cold,True,True,5
1757,Migraine,Migraine,True,True,6
4004,Pneumonia,Pneumonia,True,True,5
2297,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4841,Chronic Cholestasis,Chronic Cholestasis,True,True,5
3352,Hypothyroidism,Hypothyroidism,True,True,6
2546,Drug Reaction,Drug Reaction,True,True,6
2513,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3752,Hepatitis C,Hepatitis C,True,True,6
2632,Gastroenteritis,Gastroenteritis,True,True,6
2280,Hepatitis E,Hepatitis E,True,True,4
107,Hypertension ,Hypertension ,True,True,14
2494,Osteoarthritis,Osteoarthritis,True,True,6
2694,Heart Attack,Heart Attack,True,True,6
3397,Arthritis,Arthritis,True,True,7
2840,Migraine,Migraine,True,True,6
1095,Pneumonia,Pneumonia,True,True,5
3940,Drug Reaction,Drug Reaction,True,True,6
738,Hyperthyroidism,Hyperthyroidism,True,True,6
1119,Heart Attack,Heart Attack,True,True,6
2878,Gastroenteritis,Gastroenteritis,True,True,6
3122,AIDS,AIDS,True,True,7
3823,Hypertension ,Hypertension ,True,True,5
1391,Chickenpox,Chickenpox,True,True,5
1437,Hepatitis B,Hepatitis B,True,True,9
25,GERD,GERD,True,True,11
743,Hypoglycemia,Hypoglycemia,True,True,5
3911,Chickenpox,Chickenpox,True,True,5
2319,Common Cold,Common Cold,True,True,5
2692,Pneumonia,Pneumonia,True,True,5
1641,Fungal Infection,Fungal Infection,True,True,9
4076,Dengue,Dengue,True,True,5
4770,Jaundice,Jaundice,True,True,6
4840,GERD,GERD,True,True,6
3947,Migraine,Migraine,True,True,6
125,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3676,Pneumonia,Pneumonia,True,True,5
4080,Hepatitis C,Hepatitis C,True,True,6
4649,Chickenpox,Chickenpox,True,True,5
881,AIDS,AIDS,True,True,9
1540,Hypothyroidism,Hypothyroidism,True,True,6
1719,Diabetes ,Diabetes ,True,True,5
4727,Cervical Spondylosis,Cervical Spondylosis,True,True,6
1396,Chickenpox,Chickenpox,True,True,5
644,Hepatitis E,Hepatitis E,True,True,4
1515,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
1276,Drug Reaction,Drug Reaction,True,True,13
2955,Chronic Cholestasis,Chronic Cholestasis,True,True,5
3938,GERD,GERD,True,True,6
3181,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4491,Hepatitis D,Hepatitis D,True,True,5
2442,Psoriasis,Psoriasis,True,True,17
347,Osteoarthritis,Osteoarthritis,True,True,6
215,Hepatitis C,Hepatitis C,True,True,9
637,Hepatitis D,Hepatitis D,True,True,9
3435,Hyperthyroidism,Hyperthyroidism,True,True,6
3090,Malaria,Malaria,True,True,5
2530,Heart Attack,Heart Attack,True,True,6
4578,Pneumonia,Pneumonia,True,True,5
2760,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
334,Hypoglycemia,Hypoglycemia,True,True,8
1114,Heart Attack,Heart Attack,True,True,6
1814,Dengue,Dengue,True,True,5
2711,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1736,Bronchial Asthma,Bronchial Asthma,True,True,9
4341,Vertigo,Vertigo,True,True,6
4237,Jaundice,Jaundice,True,True,6
1810,Dengue,Dengue,True,True,8
1696,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1118,Heart Attack,Heart Attack,True,True,6
882,AIDS,AIDS,True,True,7
3092,Dengue,Dengue,True,True,5
2098,Drug Reaction,Drug Reaction,True,True,6
466,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
4050,Hyperthyroidism,Hyperthyroidism,True,True,6
1760,Cervical Spondylosis,Cervical Spondylosis,True,True,6
454,Drug Reaction,Drug Reaction,True,True,7
1160,Osteoarthritis,Osteoarthritis,True,True,6
2777,Varicose Veins,Varicose Veins,True,True,6
4738,Hepatitis E,Hepatitis E,True,True,4
2429,Acne,Acne,True,True,8
4278,Jaundice,Jaundice,True,True,6
2158,Hypertension ,Hypertension ,True,True,5
4655,Hepatitis D,Hepatitis D,True,True,5
1263,Chronic Cholestasis,Chronic Cholestasis,True,True,5
186,Typhoid,Typhoid,True,True,5
903,Gastroenteritis,Gastroenteritis,True,True,6
1618,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2454,Impetigo,Impetigo,True,True,6
224,Hepatitis D,Hepatitis D,True,True,5
31,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4925,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1234,Fungal Infection,Fungal Infection,True,True,5
865,Drug Reaction,Drug Reaction,True,True,12
3475,Hypothyroidism,Hypothyroidism,True,True,6
4367,Hepatitis C,Hepatitis C,True,True,6
3130,Jaundice,Jaundice,True,True,6
1046,Hepatitis D,Hepatitis D,True,True,5
1185,Vertigo,Vertigo,True,True,6
4660,Pneumonia,Pneumonia,True,True,5
491,Gastroenteritis,Gastroenteritis,True,True,6
4055,Acne,Acne,True,True,7
2037,Psoriasis,Psoriasis,True,True,5
4784,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
4927,Diabetes ,Diabetes ,True,True,5
4355,Bronchial Asthma,Bronchial Asthma,True,True,7
529,Migraine,Migraine,True,True,9
4534,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
2181,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
4271,Diabetes ,Diabetes ,True,True,5
3846,Hypoglycemia,Hypoglycemia,True,True,5
2049,Impetigo,Impetigo,True,True,6
2288,Hepatitis E,Hepatitis E,True,True,4
2736,Varicose Veins,Varicose Veins,True,True,6
3302,Hepatitis D,Hepatitis D,True,True,5
4580,Heart Attack,Heart Attack,True,True,6
4599,Diabetes ,Diabetes ,True,True,5
1626,Psoriasis,Psoriasis,True,True,5
3039,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
173,Dengue,Dengue,True,True,5
1786,Jaundice,Jaundice,True,True,10
4657,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1883,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
318,Hypothyroidism,Hypothyroidism,True,True,6
4199,Dengue,Dengue,True,True,5
2358,Varicose Veins,Varicose Veins,True,True,6
1758,Migraine,Migraine,True,True,6
2348,Heart Attack,Heart Attack,True,True,6
1656,Allergy,Allergy,True,True,10
4299,Arthritis,Arthritis,True,True,7
2622,Psoriasis,Psoriasis,True,True,5
1710,Diabetes ,Diabetes ,True,True,5
3381,Hepatitis A,Hepatitis A,True,True,5
4886,Diabetes ,Diabetes ,True,True,5
1659,Allergy,Allergy,True,True,10
85,Gastroenteritis,Gastroenteritis,True,True,13
1330,Hypertension ,Hypertension ,True,True,5
703,Heart Attack,Heart Attack,True,True,6
4227,Drug Reaction,Drug Reaction,True,True,6
2531,Varicose Veins,Varicose Veins,True,True,6
1884,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,9
2824,Vertigo,Vertigo,True,True,6
3611,Chronic Cholestasis,Chronic Cholestasis,True,True,5
360,Vertigo,Vertigo,True,True,6
1788,Jaundice,Jaundice,True,True,6
433,GERD,GERD,True,True,13
996,Dengue,Dengue,True,True,5
1784,Jaundice,Jaundice,True,True,8
2412,Vertigo,Hypertension ,False,True,5
1640,Fungal Infection,Fungal Infection,True,True,5
2146,Bronchial Asthma,Bronchial Asthma,True,True,9
322,Hyperthyroidism,Arthritis,False,True,7
3865,Migraine,Migraine,True,True,6
1270,Drug Reaction,Drug Reaction,True,True,6
3616,Gastroenteritis,Gastroenteritis,True,True,6
4493,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
3605,Urinary Tract Infection,Urinary Tract Infection,True,True,9
1364,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
3191,Osteoarthritis,Osteoarthritis,True,True,6
688,Pneumonia,Pneumonia,True,True,5
312,Hypothyroidism,Hypothyroidism,True,True,14
2090,Drug Reaction,Drug Reaction,True,True,6
3445,Allergy,Allergy,True,True,10
467,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
4301,Acne,Acne,True,True,7
2088,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4748,Hypoglycemia,Hypoglycemia,True,True,5
3179,Hepatitis D,Hepatitis D,True,True,5
1431,Hepatitis B,Hepatitis B,True,True,5
1438,Hepatitis B,Hepatitis B,True,True,5
2979,Pneumonia,Pneumonia,True,True,5
2643,Hepatitis A,Hepatitis A,True,True,5
3649,Fungal Infection,Fungal Infection,True,True,5
3693,Chronic Cholestasis,Chronic Cholestasis,True,True,5
421,Allergy,Allergy,True,True,10
599,Typhoid,Typhoid,True,True,5
1048,Hepatitis D,Hepatitis D,True,True,9
808,Psoriasis,Psoriasis,True,True,5
710,Varicose Veins,Varicose Veins,True,True,6
2467,Diabetes ,Diabetes ,True,True,5
626,Hepatitis C,Hepatitis C,True,True,6
4900,Hepatitis C,Hepatitis C,True,True,6
3109,Osteoarthritis,Osteoarthritis,True,True,6
2684,Hepatitis A,Hepatitis A,True,True,5
4124,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
725,Hypothyroidism,Hypothyroidism,True,True,6
3165,Gastroenteritis,Gastroenteritis,True,True,6
2572,Varicose Veins,Varicose Veins,True,True,6
2023,Urinary Tract Infection,AIDS,False,True,20
1900,Common Cold,Common Cold,True,True,5
3423,Hepatitis B,Hepatitis B,True,True,5
2309,Tuberculosis,Tuberculosis,True,True,5
4923,Chronic Cholestasis,Chronic Cholestasis,True,True,5
3819,AIDS,AIDS,True,True,7
1838,Hepatitis A,Hepatitis A,True,True,5
2789,Allergy,Allergy,True,True,10
3663,Jaundice,Jaundice,True,True,6
2633,Bronchial Asthma,Bronchial Asthma,True,True,7
3740,Bronchial Asthma,Bronchial Asthma,True,True,7
2558,Chickenpox,Chickenpox,True,True,5
4609,Dengue,Dengue,True,True,5
4539,Heart Attack,Heart Attack,True,True,6
1294,AIDS,AIDS,True,True,7
618,Hepatitis B,Hepatitis B,True,True,5
1801,Chickenpox,Chickenpox,True,True,5
279,Pneumonia,Pneumonia,True,True,5
4437,Bronchial Asthma,Bronchial Asthma,True,True,7
1811,Dengue,Dengue,True,True,5
2586,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1240,Allergy,Allergy,True,True,10
3937,Allergy,Allergy,True,True,10
1125,Varicose Veins,Varicose Veins,True,True,6
4514,Drug Reaction,Drug Reaction,True,True,6
230,Hepatitis E,Hepatitis E,True,True,4
1441,Hepatitis C,Hepatitis C,True,True,6
3496,Migraine,Migraine,True,True,6
303,Varicose Veins,Varicose Veins,True,True,9
1271,Drug Reaction,Drug Reaction,True,True,13
1891,Tuberculosis,Tuberculosis,True,True,5
3607,Impetigo,Impetigo,True,True,6
154,Malaria,Malaria,True,True,8
233,Hepatitis E,Hepatitis E,True,True,4
4233,Hypertension ,Hypertension ,True,True,5
1175,Arthritis,Arthritis,True,True,7
314,Hypothyroidism,Hypothyroidism,True,True,6
4161,Hepatitis B,Hepatitis B,True,True,5
3771,Impetigo,Impetigo,True,True,6
3604,Acne,Acne,True,True,7
2433,Urinary Tract Infection,AIDS,False,True,20
2076,GERD,Heart Attack,False,True,6
1574,Osteoarthritis,Cervical Spondylosis,False,True,6
1895,Tuberculosis,Tuberculosis,True,True,5
2377,Hyperthyroidism,Hyperthyroidism,True,True,6
3658,Bronchial Asthma,Bronchial Asthma,True,True,7
3243,Drug Reaction,Drug Reaction,True,True,6
4501,Hyperthyroidism,Hyperthyroidism,True,True,6
168,Chickenpox,Chickenpox,True,True,5
1842,Hepatitis B,Hepatitis B,True,True,5
2341,Heart Attack,Heart Attack,True,True,6
2669,Drug Reaction,Drug Reaction,True,True,6
771,Vertigo,Vertigo,True,True,6
1316,Gastroenteritis,Gastroenteritis,True,True,6
4639,AIDS,AIDS,True,True,7
1948,Varicose Veins,Varicose Veins,True,True,6
2053,Fungal Infection,Fungal Infection,True,True,9
4725,Hypertension ,Hypertension ,True,True,5
253,Tuberculosis,Tuberculosis,True,True,5
1845,Hepatitis B,Hepatitis B,True,True,5
423,Allergy,Allergy,True,True,18
1406,Dengue,Dengue,True,True,5
2925,Jaundice,Jaundice,True,True,6
345,Osteoarthritis,Osteoarthritis,True,True,6
4374,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2646,Hepatitis D,Hepatitis D,True,True,5
706,Heart Attack,Heart Attack,True,True,6
4861,Hepatitis E,Hepatitis E,True,True,4
1014,Hepatitis A,Hepatitis A,True,True,5
2898,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
1793,Malaria,Malaria,True,True,5
4882,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4289,Tuberculosis,Tuberculosis,True,True,5
2141,Bronchial Asthma,Bronchial Asthma,True,True,9
2497,Acne,Acne,True,True,7
650,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1490,Common Cold,Common Cold,True,True,5
1527,Heart Attack,Heart Attack,True,True,15
4063,Drug Reaction,Drug Reaction,True,True,6
1586,Arthritis,Arthritis,True,True,7
1674,Chronic Cholestasis,Chronic Cholestasis,True,True,8
3172,Malaria,Malaria,True,True,5
1385,Malaria,Malaria,True,True,5
2780,Hypoglycemia,Hypoglycemia,True,True,5
2448,Psoriasis,Psoriasis,True,True,5
4151,Hypertension ,Hypertension ,True,True,5
4263,Impetigo,Impetigo,True,True,6
2651,Pneumonia,Pneumonia,True,True,5
1370,Jaundice,Jaundice,True,True,6
3578,Migraine,Migraine,True,True,6
4763,Diabetes ,Diabetes ,True,True,5
387,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2285,Hepatitis E,Chronic Cholestasis,False,True,5
2778,Hypothyroidism,Hypothyroidism,True,True,6
1583,Arthritis,Arthritis,True,True,7
1163,Osteoarthritis,Osteoarthritis,True,True,16
1032,Hepatitis C,Hepatitis C,True,True,20
2964,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3557,Hypothyroidism,Hypothyroidism,True,True,6
2468,Gastroenteritis,Gastroenteritis,True,True,6
615,Hepatitis B,Hepatitis B,True,True,5
1365,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,10
333,Hypoglycemia,Hypoglycemia,True,True,5
2386,Hypoglycemia,Hypoglycemia,True,True,5
4241,Typhoid,Typhoid,True,True,5
579,Chickenpox,Chickenpox,True,True,5
1432,Hepatitis B,Hepatitis B,True,True,5
4507,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2687,Hepatitis D,Hepatitis D,True,True,5
2860,Hypothyroidism,Hypothyroidism,True,True,6
4549,Psoriasis,Psoriasis,True,True,5
1605,Acne,Acne,True,True,7
528,Migraine,Migraine,True,True,6
2437,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2903,Hypoglycemia,Hypoglycemia,True,True,5
3427,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
4699,Tuberculosis,Tuberculosis,True,True,5
2289,Hepatitis E,Hepatitis E,True,True,4
1542,Hypothyroidism,Hypothyroidism,True,True,14
3595,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
3651,GERD,GERD,True,True,6
523,Migraine,Migraine,True,True,15
4389,GERD,GERD,True,True,6
3459,Malaria,Malaria,True,True,5
3244,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
2807,Hepatitis A,Hepatitis A,True,True,5
2156,Hypertension ,Hypertension ,True,True,5
382,Urinary Tract Infection,Urinary Tract Infection,True,True,9
4068,Bronchial Asthma,Bronchial Asthma,True,True,7
4444,Chickenpox,Chickenpox,True,True,5
1734,Bronchial Asthma,Bronchial Asthma,True,True,7
2082,Chronic Cholestasis,Chronic Cholestasis,True,True,13
3337,Chickenpox,Chickenpox,True,True,5
74,Diabetes ,Diabetes ,True,True,5
3899,Drug Reaction,Drug Reaction,True,True,6
3457,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
3477,Hypoglycemia,Hypoglycemia,True,True,5
877,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
1399,Chickenpox,Chickenpox,True,True,5
3138,Hepatitis D,Hepatitis D,True,True,5
1991,Arthritis,Arthritis,True,True,7
786,Acne,Acne,True,True,7
927,Hypertension ,Hypertension ,True,True,14
4872,Osteoarthritis,Osteoarthritis,True,True,6
4439,Migraine,Migraine,True,True,6
316,Hypothyroidism,Hypothyroidism,True,True,6
4479,Hypertension ,Hypertension ,True,True,5
4721,AIDS,AIDS,True,True,7
4067,Gastroenteritis,Gastroenteritis,True,True,6
